%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
55.0, -481.964647189714, -565.7327963472344, -356.28717912873253, -353.92169240675867, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003513349E9, 0.0, 2025-02-21 12:03:23.513
55.0, -483.75979916844517, -559.7377367182635, -345.6546435547061, -348.2781833736226, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003513359E9, 0.0, 2025-02-21 12:03:23.513
56.0, -482.6415690816939, -556.7196374540217, -341.6679102019407, -348.84664816688746, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003572052E9, 0.0, 2025-02-21 12:03:23.572
56.0, -484.8144509559497, -570.2206762940623, -369.84431646810845, -375.1381448553875, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003572084E9, 0.0, 2025-02-21 12:03:23.572
57.0, -481.25032629817724, -560.298721711617, -342.16531689604744, -330.8689490798861, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003573077E9, 0.0, 2025-02-21 12:03:23.573
57.0, -495.9406533241272, -575.2396220345981, -345.9687951509841, -336.2656247159466, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003573095E9, 0.0, 2025-02-21 12:03:23.573
58.0, -495.1328349336982, -571.2117497823201, -371.4861325486563, -365.30594787187874, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003574431E9, 0.0, 2025-02-21 12:03:23.574
58.0, -501.322369360365, -574.1139121479355, -347.46475513326004, -340.11024187039584, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003574447E9, 0.0, 2025-02-21 12:03:23.574
59.0, -496.2697645202279, -574.9329502382316, -366.65792170586064, -356.12075358070433, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003576154E9, 0.0, 2025-02-21 12:03:23.576
59.0, -494.2801377438009, -562.3407070874237, -348.23891442408785, -340.0541433710605, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003576171E9, 0.0, 2025-02-21 12:03:23.576
60.0, -487.6380754224956, -561.5740275965072, -335.874805170577, -327.4469406204298, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003576193E9, 0.0, 2025-02-21 12:03:23.576
60.0, -492.795397461392, -568.2721884171478, -378.6330813639797, -378.57511291466653, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003576204E9, 0.0, 2025-02-21 12:03:23.576
61.0, -483.5241854712367, -562.1013534902595, -339.24071513069794, -335.3493492268026, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003576222E9, 0.0, 2025-02-21 12:03:23.576
61.0, -486.51236553583294, -568.5900799133815, -346.56717914389446, -343.0572830354795, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003576233E9, 0.0, 2025-02-21 12:03:23.576
63.0, -488.50573221221566, -580.5652395715006, -378.9472329602577, -383.39210405759513, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003603097E9, 0.0, 2025-02-21 12:03:23.603
63.0, -488.8572828080505, -571.8624923746102, -374.4144742139615, -355.10724069271237, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003603129E9, 0.0, 2025-02-21 12:03:23.603
64.0, -489.81095729675144, -573.8221999513917, -359.20056119421497, -345.8360287025571, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003603153E9, 0.0, 2025-02-21 12:03:23.603
64.0, -485.10616315249354, -575.9389833263122, -390.6830390212126, -391.0850782664493, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003603164E9, 0.0, 2025-02-21 12:03:23.603
65.0, -481.7926117917523, -570.7779213874601, -349.98544770339504, -345.7911499030888, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003632075E9, 0.0, 2025-02-21 12:03:23.632
65.0, -485.0126656536013, -582.7493411456235, -371.1233622529544, -356.5433622756973, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003632105E9, 0.0, 2025-02-21 12:03:23.632
66.0, -486.25431243889034, -576.5448471191339, -390.3090490256436, -370.4370906110853, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003633356E9, 0.0, 2025-02-21 12:03:23.633
66.0, -486.7928580325097, -578.6878097937442, -412.845686158631, -383.2836469588801, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003633371E9, 0.0, 2025-02-21 12:03:23.633
67.0, -485.36795614939183, -576.4700491200201, -378.5021848655306, -354.40787940099835, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003633392E9, 0.0, 2025-02-21 12:03:23.633
67.0, -486.1570750400424, -580.9841083665378, -378.786417262163, -367.8042010422796, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003633403E9, 0.0, 2025-02-21 12:03:23.633
68.0, -488.59174991119653, -582.0163207543083, -384.94977238914, -375.4672560514882, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003635319E9, 0.0, 2025-02-21 12:03:23.635
68.0, -484.84063025563955, -576.2830541222356, -374.1152822175063, -363.4733968935907, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003635336E9, 0.0, 2025-02-21 12:03:23.635
69.0, -488.5580908115953, -583.9573288313113, -358.54233880201355, -349.6432468574494, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003663533E9, 0.0, 2025-02-21 12:03:23.663
69.0, -486.07105734106153, -579.353511985857, -362.5926504540257, -353.3457478135824, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003663565E9, 0.0, 2025-02-21 12:03:23.663
70.0, -495.06177683454007, -592.05421223538, -387.04037646437064, -377.79721372388303, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003663598E9, 0.0, 2025-02-21 12:03:23.663
70.0, -494.6429080395028, -586.2237082044594, -367.63029569434, -352.89695981889963, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003663609E9, 0.0, 2025-02-21 12:03:23.663
71.0, -491.85294267255813, -587.6261706878431, -398.0543818338774, -389.966848179698, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003692156E9, 0.0, 2025-02-21 12:03:23.692
71.0, -487.8288103202358, -579.0131810898893, -368.28851808654144, -365.19001097325236, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003692183E9, 0.0, 2025-02-21 12:03:23.692
72.0, -489.9755128948018, -583.3290256387554, -365.0535046248697, -364.41211178246886, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003693037E9, 0.0, 2025-02-21 12:03:23.693
72.0, -483.31475107371807, -581.9377828552388, -392.25379700260237, -395.5879178130999, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003693054E9, 0.0, 2025-02-21 12:03:23.693
73.0, -488.69272721000016, -580.2436081753112, -361.2313268701546, -364.22885668464005, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003695749E9, 0.0, 2025-02-21 12:03:23.695
73.0, -489.73241939768195, -585.0493796183728, -378.07583627058193, -375.34009945299476, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003695767E9, 0.0, 2025-02-21 12:03:23.695
74.0, -495.5629234286025, -586.7098951986991, -385.4995376826264, -378.593812414445, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003695791E9, 0.0, 2025-02-21 12:03:23.695
74.0, -497.9751589000225, -588.2245546807535, -374.4892722130753, -359.2024311441928, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003695802E9, 0.0, 2025-02-21 12:03:23.695
75.0, -487.76897192094475, -582.62218454713, -397.6205534390174, -385.34807173442096, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003723439E9, 0.0, 2025-02-21 12:03:23.723
75.0, -488.7525656092912, -581.0850856653415, -362.5627312543802, -351.3149821376428, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003723466E9, 0.0, 2025-02-21 12:03:23.723
76.0, -488.02328511793166, -584.8399452208541, -359.64934918889776, -352.0592222288251, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003723491E9, 0.0, 2025-02-21 12:03:23.723
76.0, -486.5647241352126, -584.009687430691, -382.51883741794154, -379.2856939062476, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003723502E9, 0.0, 2025-02-21 12:03:23.723
77.0, -480.51356600690633, -565.6056397487409, -347.64427033113316, -346.37083439622074, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003752065E9, 0.0, 2025-02-21 12:03:23.752
77.0, -485.54373144730926, -579.4694488844834, -364.7131737289019, -361.8764596125111, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401610037521E9, 0.0, 2025-02-21 12:03:23.752
78.0, -492.91881415992975, -579.9593757786788, -371.6020694472827, -366.8804457532242, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003753082E9, 0.0, 2025-02-21 12:03:23.753
78.0, -478.65483572892845, -571.5932195778005, -357.7756593110971, -357.78500906098634, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003753104E9, 0.0, 2025-02-21 12:03:23.753
79.0, -476.0032466603443, -572.0420075724833, -385.9782448769547, -381.09206558484584, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401610037542E9, 0.0, 2025-02-21 12:03:23.754
79.0, -479.4850935190916, -563.6347124720924, -356.2310806293972, -347.07767548784614, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003754218E9, 0.0, 2025-02-21 12:03:23.754
80.0, -474.2267941813916, -570.972396185156, -357.98509370861575, -345.40968010760844, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003754242E9, 0.0, 2025-02-21 12:03:23.754
80.0, -483.29231167398393, -580.2361283753999, -379.95326604833826, -367.79298134241253, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003754256E9, 0.0, 2025-02-21 12:03:23.754
81.0, -485.6447087461129, -567.1763977301307, -351.93767548026517, -333.5205381484702, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003781991E9, 0.0, 2025-02-21 12:03:23.781
81.0, -486.73301963321865, -576.4363900204189, -378.8013768619858, -351.6403534337878, -0.4480000212788582, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74016100378202E9, 0.0, 2025-02-21 12:03:23.782
82.0, -488.561830711551, -575.325639733579, -367.8509497917257, -349.8751206547022, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003782811E9, 0.0, 2025-02-21 12:03:23.782
82.0, -482.013265889138, -573.5080483551137, -356.50783322611824, -330.69317378196865, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003782825E9, 0.0, 2025-02-21 12:03:23.782
83.0, -481.54203849472106, -575.4303569323383, -390.8288951194845, -379.5474869031459, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003812048E9, 0.0, 2025-02-21 12:03:23.812
83.0, -477.7871789392084, -568.197390418034, -341.7801072006114, -343.10216183494776, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003812075E9, 0.0, 2025-02-21 12:03:23.812
84.0, -483.10157677624375, -574.3457859451883, -354.6678024479188, -341.5987220527604, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7401610038134E9, 0.0, 2025-02-21 12:03:23.813
84.0, -484.7134736571461, -577.2142892112024, -373.3074638270773, -378.61251191422343, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003813427E9, 0.0, 2025-02-21 12:03:23.813
85.0, -481.2017075987533, -568.679837512318, -350.98026109160855, -350.6418001456186, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003814618E9, 0.0, 2025-02-21 12:03:23.814
85.0, -486.61708273459226, -575.7632080283947, -383.610888205003, -363.8698262888938, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740161003814641E9, 0.0, 2025-02-21 12:03:23.814
86.0, -488.9806995065883, -580.5988986711018, -364.518698931206, -361.40897211804986, -0.43200002051889896, 0.0, 0.9120000433176756, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74016100387201E9, 0.0, 2025-02-21 12:03:23.872
